id,dut,categories,test,description,inputs,result,messages
928,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.250.4 - Peer: s2-core2,PASS,
929,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.53 - Peer: s2-leaf1,PASS,
930,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.55 - Peer: s2-leaf3,PASS,
931,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.254.57 - Peer: s2-brdr1,PASS,
932,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.1 - Peer: s2-spine1,PASS,
933,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.2 - Peer: s2-spine2,PASS,
934,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.53 - Peer: s2-leaf1,PASS,
935,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.54 - Peer: s2-leaf2,PASS,
936,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.55 - Peer: s2-leaf3,PASS,
937,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.56 - Peer: s2-leaf4,PASS,
938,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.57 - Peer: s2-brdr1,PASS,
939,s2-leaf2,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.2.255.58 - Peer: s2-brdr2,PASS,
940,s2-leaf2,System,VerifyNTP,Verifies if NTP is synchronised.,,PASS,
941,s2-leaf3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-spine1 (IP: 192.2.255.1),PASS,
942,s2-leaf3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP EVPN Peer: s2-spine2 (IP: 192.2.255.2),PASS,
943,s2-leaf3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-leaf4 (IP: 10.222.251.105),PASS,
944,s2-leaf3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-spine1 (IP: 172.32.255.208),PASS,
945,s2-leaf3,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s).,BGP IPv4 Unicast Peer: s2-spine2 (IP: 172.32.255.210),PASS,
946,s2-leaf3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet1 - Remote: s2-leaf4 Ethernet1,PASS,
947,s2-leaf3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet2 - Remote: s2-spine1 Ethernet4,PASS,
948,s2-leaf3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet3 - Remote: s2-spine2 Ethernet4,PASS,
949,s2-leaf3,Connectivity,VerifyLLDPNeighbors,Verifies that the provided LLDP neighbors are connected properly.,Local: Ethernet6 - Remote: s2-leaf4 Ethernet6,PASS,
950,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-brdr1 Loopback0 (IP: 192.0.255.17),PASS,
951,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-brdr2 Loopback0 (IP: 192.0.255.18),PASS,
952,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-core1 Loopback0 (IP: 192.168.250.1),PASS,
953,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-core2 Loopback0 (IP: 192.168.250.2),PASS,
954,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-leaf1 Loopback0 (IP: 192.0.255.13),PASS,
955,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-leaf2 Loopback0 (IP: 192.0.255.14),PASS,
956,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-leaf3 Loopback0 (IP: 192.0.255.15),PASS,
957,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-leaf4 Loopback0 (IP: 192.0.255.16),PASS,
958,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-spine1 Loopback0 (IP: 192.0.255.1),PASS,
959,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s1-spine2 Loopback0 (IP: 192.0.255.2),PASS,
960,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s2-brdr1 Loopback0 (IP: 192.2.255.57),PASS,
961,s2-leaf3,Connectivity,VerifyReachability,Test the network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.2.255.55) - Destination: s2-brdr2 Loopback0 (IP: 192.2.255.58),PASS,
